Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2019,3,1428,75,1263,61,H,0,27,55,8,24,13,19,10,32,18,14,7,3,14,22,55,9,26,8,12,5,21,16,12,9,4,18
2019,4,1101,94,1117,73,H,0,31,55,8,14,24,31,12,28,17,18,8,0,27,26,59,6,17,15,24,11,18,13,16,6,2,24
2019,4,1110,78,1206,75,A,0,30,66,8,20,10,18,10,28,10,12,13,5,19,28,65,5,18,14,24,16,29,13,15,7,5,16
2019,4,1113,80,1270,52,H,0,27,58,5,19,21,27,15,28,15,11,9,6,23,15,47,5,20,17,29,10,20,10,17,1,1,22
2019,4,1120,88,1449,66,H,0,29,70,12,31,18,23,19,22,16,11,8,4,20,25,45,6,14,10,17,3,21,10,18,8,5,18
2019,4,1138,99,1452,94,A,0,32,80,11,37,24,32,21,29,17,11,8,3,25,29,66,11,33,25,35,14,32,16,19,4,6,24
2019,4,1140,75,1430,65,H,0,26,60,6,22,17,25,9,38,18,12,8,6,18,25,75,6,23,9,15,16,30,14,11,4,2,22
2019,4,1141,101,1152,60,H,0,36,73,12,31,17,28,17,28,21,9,9,4,27,20,56,2,16,18,31,15,26,4,22,4,2,27
2019,4,1155,71,1300,51,H,0,23,50,10,27,15,21,5,26,18,11,8,7,17,18,55,4,18,11,15,14,24,8,20,5,1,22
2019,4,1157,85,1144,75,A,0,27,46,6,16,25,34,6,27,14,16,5,0,24,24,54,6,28,21,35,10,18,13,11,8,3,22
2019,4,1159,87,1284,74,H,0,26,56,13,29,22,28,13,26,17,19,2,1,24,22,57,6,18,24,28,12,20,13,18,8,4,24
2019,4,1172,79,1171,76,H,0,31,65,4,18,13,17,12,25,13,7,2,4,13,26,56,15,33,9,10,5,25,18,10,2,3,18
2019,4,1185,66,1180,62,H,0,26,57,5,19,9,15,7,30,9,9,5,5,12,21,57,13,34,7,10,8,25,17,12,2,2,20
2019,4,1196,76,1149,46,H,0,26,56,8,28,16,22,4,34,14,8,12,5,19,14,55,5,28,13,19,11,28,6,19,2,1,19
2019,4,1202,60,1260,58,A,0,21,55,6,22,12,17,8,28,9,17,9,7,20,20,54,3,20,15,25,8,29,10,14,10,5,13
2019,4,1208,110,1366,76,H,0,40,70,11,27,19,32,14,48,28,23,8,9,14,29,93,17,57,1,3,17,24,16,18,6,4,22
2019,4,1210,88,1249,69,H,0,32,63,12,30,12,21,9,26,26,15,10,8,24,23,60,5,16,18,33,16,22,13,19,11,0,20
2019,4,1218,82,1339,64,H,0,31,66,11,31,9,14,13,23,22,9,7,5,25,17,42,5,17,25,34,3,25,8,14,5,3,17
2019,4,1220,79,1291,61,H,0,29,64,9,23,12,18,7,34,15,8,6,4,16,23,56,8,24,7,17,3,29,8,12,5,2,18
2019,4,1231,80,1286,35,H,0,32,57,6,21,10,19,8,32,22,14,10,5,17,14,55,3,26,4,10,13,22,8,25,3,0,18
2019,4,1232,78,1453,74,A,0,22,57,7,13,27,35,11,34,11,16,8,2,28,23,64,7,31,21,33,13,25,15,13,3,6,27
2019,4,1233,72,1107,68,H,0,25,57,6,25,16,25,10,24,16,13,12,2,16,21,58,11,24,15,16,13,26,10,22,0,0,20
2019,4,1235,76,1281,59,H,0,22,51,8,25,24,35,5,21,10,7,9,3,17,19,44,9,26,12,17,6,29,12,25,2,1,26
2019,4,1241,73,1187,72,A,0,21,47,5,17,26,37,7,23,10,25,14,3,23,26,51,5,16,15,26,5,23,13,23,15,3,28
2019,4,1243,56,1244,41,H,0,25,60,1,13,5,11,14,28,13,16,10,2,14,17,52,4,14,3,5,9,20,9,21,9,6,18
2019,4,1246,71,1356,59,H,0,24,54,4,14,19,27,18,30,11,19,5,6,15,23,56,5,16,8,12,7,12,13,13,7,2,24
2019,4,1254,83,1135,81,H,0,25,67,8,30,25,36,18,29,8,15,8,5,28,27,56,8,18,19,31,6,33,17,15,7,9,26
2019,4,1255,63,1350,58,A,0,24,52,7,25,8,13,5,36,10,20,7,4,18,23,60,6,26,6,16,6,25,9,14,10,3,13
2019,4,1261,97,1422,91,H,0,30,54,9,18,28,31,9,25,16,17,9,3,14,34,60,19,33,4,9,2,16,21,14,7,5,26
2019,4,1268,78,1298,57,A,0,25,59,5,23,23,27,11,29,12,10,8,4,18,19,52,7,20,12,20,8,25,15,17,6,3,20
2019,4,1269,104,1306,75,H,0,34,51,10,19,26,32,3,28,24,14,5,4,21,26,64,10,24,13,21,12,15,17,12,2,0,24
2019,4,1274,83,1250,62,H,0,23,61,14,32,23,32,13,32,15,11,8,9,17,21,61,8,21,12,21,13,31,6,18,5,4,24
2019,4,1280,95,1122,67,H,0,37,64,7,25,14,18,9,26,16,12,9,6,25,23,59,3,14,18,26,14,20,5,18,1,4,20
2019,4,1283,74,1352,60,H,0,23,49,5,17,23,28,4,31,12,17,8,3,18,19,61,9,34,13,20,12,24,14,20,8,5,25
2019,4,1285,81,1209,74,H,0,24,55,5,25,28,43,15,28,13,14,6,5,20,28,72,6,19,12,24,21,25,8,12,11,5,31
2019,4,1297,88,1296,85,A,0,30,61,14,33,14,27,7,33,15,13,7,3,25,31,76,6,23,17,23,15,31,12,14,3,3,26
2019,4,1305,83,1334,61,H,0,25,56,15,31,18,27,10,31,21,7,5,6,18,25,60,5,20,6,14,9,26,15,10,4,1,28
2019,4,1308,96,1431,69,H,0,36,73,12,32,12,19,12,29,17,7,5,1,21,25,58,8,18,11,19,3,25,6,13,2,1,24
2019,4,1312,74,1127,57,A,0,27,61,6,22,14,23,11,34,12,9,5,3,19,18,57,5,18,16,22,10,28,8,12,2,7,18
2019,4,1314,116,1189,67,A,0,45,87,7,24,19,27,24,36,18,11,12,5,22,21,59,7,29,18,28,10,21,12,19,2,3,25
2019,4,1318,81,1217,71,A,0,24,46,13,23,20,22,4,24,13,16,9,1,14,26,51,11,23,8,14,4,18,13,14,8,2,20
2019,4,1328,91,1410,76,A,0,29,58,11,23,22,31,10,33,16,15,8,7,22,29,69,9,19,9,17,12,25,16,15,10,3,25
2019,4,1332,81,1186,47,H,0,30,61,10,25,11,17,12,38,18,7,4,6,6,15,65,13,45,4,6,11,23,13,9,2,2,20
2019,4,1335,92,1349,76,H,0,31,60,7,19,23,28,8,33,18,16,9,4,15,31,66,6,18,8,14,6,25,10,15,9,3,20
2019,4,1336,87,1316,72,H,0,27,57,8,21,25,35,9,30,17,15,7,5,19,27,64,5,27,13,22,11,27,13,15,9,6,29
2019,4,1338,94,1440,55,H,0,33,52,13,25,15,18,7,35,24,17,8,3,16,20,59,5,25,10,15,8,13,9,13,10,2,15
2019,4,1341,81,1365,64,A,0,31,58,4,15,15,22,9,22,14,9,9,0,26,21,57,8,30,14,29,20,22,11,20,6,6,24
2019,4,1347,88,1227,78,H,0,29,61,12,21,18,25,11,27,16,8,6,5,13,28,57,13,31,9,11,4,24,10,13,1,2,23
2019,4,1353,90,1192,55,H,0,35,65,12,20,8,17,16,27,22,17,6,12,15,23,63,4,16,5,13,17,19,10,22,10,4,18
2019,4,1359,92,1240,72,H,0,28,51,10,18,26,35,6,26,16,19,13,5,28,22,57,4,13,24,35,13,21,9,18,8,5,28
2019,4,1360,76,1413,57,A,0,30,60,8,27,8,13,7,30,18,8,6,0,18,20,53,3,23,14,17,5,25,6,10,4,2,17
2019,4,1384,80,1288,60,H,0,26,67,6,27,22,33,17,22,12,8,8,4,17,22,61,5,18,13,17,11,23,10,15,3,2,25
2019,4,1385,84,1132,80,H,0,30,65,9,23,15,24,7,21,14,8,9,1,20,25,50,11,23,19,28,6,32,12,20,3,0,23
2019,4,1386,79,1330,64,H,0,26,54,10,21,17,22,4,31,12,8,2,1,11,23,62,11,28,7,11,9,27,9,9,4,1,16
2019,4,1390,72,1423,59,A,0,26,53,2,15,18,29,13,24,4,16,15,3,25,19,54,3,19,18,25,13,21,9,20,6,2,26
2019,4,1392,83,1376,81,A,0,27,70,10,22,19,23,22,27,15,15,5,3,22,29,63,9,23,14,26,12,21,18,10,4,5,21
2019,4,1396,83,1178,67,H,0,29,62,11,27,14,20,16,22,18,17,11,2,18,25,52,9,25,8,13,7,20,12,19,8,2,16
2019,4,1397,87,1418,65,H,0,34,63,9,21,10,12,11,29,27,11,3,4,15,25,63,8,25,7,14,13,20,11,12,7,1,16
2019,4,1400,73,1116,71,N,0,21,67,10,31,21,30,16,32,11,14,8,5,25,25,61,8,22,13,24,10,36,8,18,6,5,23
2019,4,1402,67,1102,57,H,0,24,51,8,17,11,18,4,24,19,10,9,4,19,19,46,8,26,11,15,6,29,14,17,2,2,21
2019,4,1403,84,1290,52,H,0,32,64,8,19,12,21,19,31,21,9,1,3,11,18,54,9,23,7,8,7,18,8,12,5,1,18
2019,4,1405,87,1324,86,A,0,30,50,6,12,21,25,7,27,17,12,2,3,20,32,64,9,27,13,23,12,16,25,4,6,2,22
2019,4,1414,74,1401,73,A,0,29,55,9,21,7,15,10,30,16,14,2,7,24,24,66,6,28,19,26,18,22,11,10,7,5,19
2019,4,1417,91,1253,80,H,0,32,64,8,23,19,30,8,29,14,15,12,5,15,26,63,9,28,19,24,9,28,16,15,5,1,21
2019,4,1429,100,1216,73,H,0,39,70,5,12,17,20,16,32,21,15,8,5,23,24,64,9,29,16,20,9,17,14,12,5,3,21
2019,4,1433,69,1214,57,H,0,23,54,5,20,18,31,6,35,14,16,8,4,25,18,62,3,17,18,24,12,32,7,17,2,3,26
2019,4,1436,78,1131,72,A,0,27,60,8,29,16,22,9,27,14,7,5,5,16,27,61,5,17,13,15,9,28,14,11,2,0,19
2019,4,1439,87,1205,59,H,0,32,63,10,25,13,19,11,22,20,20,16,3,25,21,45,6,21,11,21,4,20,11,29,3,5,19
2019,4,1455,83,1344,80,N,0,30,60,12,22,11,19,16,23,19,17,8,4,20,28,60,11,29,13,26,17,18,19,17,8,5,17
2019,4,1463,76,1143,59,N,0,25,52,9,21,17,25,8,30,14,19,7,4,29,18,51,2,10,21,32,10,23,6,16,6,1,17
2019,5,1103,98,1464,69,N,0,36,64,7,22,19,26,11,26,12,5,5,1,18,26,60,12,29,5,10,12,23,13,15,1,2,27
2019,5,1124,80,1380,53,H,0,28,63,9,27,15,21,15,24,19,9,8,7,20,17,45,4,12,15,21,7,24,7,21,4,2,22
2019,5,1125,100,1229,89,H,0,37,71,14,34,12,17,11,30,26,11,5,5,9,35,72,13,31,6,7,8,25,19,11,5,7,17
2019,5,1133,68,1369,57,H,0,19,49,8,23,22,32,9,28,14,13,9,6,23,18,57,4,23,17,25,14,26,9,15,3,2,28
2019,5,1139,90,1275,68,H,0,35,58,8,21,12,17,12,26,18,11,2,2,17,25,63,12,33,6,7,8,14,8,8,8,2,18
2019,5,1150,66,1329,64,H,0,20,46,7,16,19,21,7,27,8,22,3,8,19,20,50,10,23,14,18,6,20,11,16,10,4,17
2019,5,1158,77,1441,74,A,0,29,54,7,21,12,19,8,21,7,11,11,7,16,29,57,9,24,7,13,8,22,15,14,7,0,19
